Artist,Song,Lyrics
Keith Urban,Tangled Up In Love,You know the cards are stacked against this   As we surrender our defenses   And I've torn down all my fences just for you   And you feel it too   What do we do   Do we run or see it through   The longer we're together   It just keeps gettin' better   And you hide your little love letters   Around the house for me   And it's plain to see   That you'll always be all I'll ever need      [Chorus]   The webs we spun   Wove into one   And left us tangled up in love   You squeeze my hand I understand   About a woman and a man   I love the way you make me feel   You got me tangled up in love   The webs we spun   Wove into one   Left us tangled up in love      [Chorus]  
Perry Como,A Fellow Needs A Girl,"A fella needs a girl to sit by his side   At the end of a weary day   To sit by his side and listen to him talk   And agree with the things he'll say!      A fella needs a girl to hold in his arms   When the rest of the world goes wrong   To hold in his arms and know that she believes   That her fellow is wise and strong!      When things go right and his job's well done   He wants to share the prize he's won   If no one shares and no one cares   Where's the fun of a job well done, or a prize you've won?      A fella needs a home, his own kind of home   But to make this dream come true   A fella needs a girl, his own kind of girl   My kind of girl is you!      A fella needs a girl, his own kind of girl   My kind of girl is you  "
America,Love's Worn Out Again,"Like you said, you'd never get used to it   But it's lost that old surprise   Time comes and goes so quiet now   Leaves emptiness behind our eyes   Oh, darling, if I could spare us   From an hour of the pain   Like you said, you'd never get used to it   But love's worn out again   Winter's here, bring the blankets out   To cover up the cold   I'm dreamin' of the good night's sleep   Like I used to know in days of old   You told me you felt all alone   But you did not tell me when   Like you said, you'd never get used to it   But love's worn out again   Love's worn out again, darling   It's moved around the bend, darling   There's no telling when   We'll feel it again   Oh, maybe I can't see what's plainly in my view   Oh, I wish I was a better man, maybe it's just you   But there's something goin' on here   Like a wound that will not mend   Like you said, you'd never get used to it   But love's worn out again   Love's worn out again, darling   It's moved around the bend, darling   There's no telling when   We'll feel it again   Love's worn out again, darling   It's moved around the bend, darling   There's no telling when   We'll feel it again   Love's worn out again, darling   It's moved around the bend, darling   There's no telling when   We'll feel it again ...    "
Marilyn Manson,The Mephistopheles Of Los Angeles,"[Verse:]   I don't know if I can open up   I've been opened enough   I don't know if I can open up   I'm not a birthday present   I'm aggressive regressive   The past is over   And passive scenes so pathetic      [Pre-Chorus:]   I was fated, faithful, fatal   I was fated, faithful, fatal      [Chorus:]   I feel stoned and alone like a heretic   Ready to meet my maker   I feel stoned and alone like a heretic   I'm ready to meet my maker   Lazarus has got no dirt on me   Lazarus has got no dirt on me   And I'll rise to every occasion   I'm the Mephistopheles of Los Angeles   Of Los Angeles      [Verse 2:]   Don't know if I can open up   I been opened too much   Double cross glossed over in my path-os      [Pre-Chorus:]   I was fated, faithful, fatal   I was fated, faithful, fatal      [Chorus:]   I feel stoned and alone like a heretic   Ready to meet my maker   I feel stoned and alone like a heretic   I'm ready to meet my maker   Lazarus has got no dirt on me   Lazarus has got no dirt on me   And I'll rise to every occasion   I'm the Mephistopheles of Los Angeles   Of Los Angeles      [Bridge:]   I was fated, faithful, fatal   I was fated, faithful, fatal   I feel stoned and alone like a heretic   And I'm ready to meet my maker   I feel stoned and alone like a heretic   And I'm ready to meet my maker      [Chorus:]   I feel stoned and alone like a heretic   Ready to meet my maker   I feel stoned and alone like a heretic   I'm ready to meet my maker   Lazarus has got no dirt on me   Lazarus has got no dirt on me   And I'll rise to every occasion   I'm the Mephistopheles of Los Angeles   Of Los Angeles  "
Eric Clapton,Cryin',"[Chorus:]   She is cryin', she is cryin'.   She's been cryin' all night long.   She's been cryin' for her one and only son.      She will weep, she will moan.   She will moan the night away.   She will weep and moan until the break of day.      I had called for the doctor,   But the doctor can't be found.   So what could I do but sit and look around?      Oh Lord, won't you hear,   Won't you hear me when I pray.   Please send this girl her one and only son.      She is cryin', she is cryin'.   She is cryin' the whole night long.   She is cryin' for her one and only son.  "
Vanilla Ice,I Love You,"[Verse 1]   Girl, I keep thinkin' of how I feel   When I'm in your arms gives me a chill   Just knowin' that you want me by your side   Mellows my mind and enhances my pride   Girl, I need you more and more each day   Believe me when I tell you I'm here to stay   I'm captured by your love and your pretty smile   You devastating beauty and your sweet profile   [Chorus]   I love you, cause I love you   I love you, cause I love you   [Verse 2]   You're so fine, let's wine and dine   I'm so happy that you are mine   Thinking of you I melt with desire   Take you in my arms, let love take us higher   To hear you talk, sounds so sweet   When you're close to me I feel your heat   Girl, I want you and you want me   And it'll last until eternity   You're like the snow fallin' from the sky   So clean, like the look in your eye   You're my queen, i'll buy you everything   Yes, girl, even diamond rings   Cause you're my lady, and this love is true   Every sunset makes me think of you   And i'll never forget what you mean to me   Comin' straight from the heart of vanilla i-see-e   Chorus   [Outro]   Hello girl, when I first saw you. it was love at first sight   We've been goin' out now for about two years and I still feel the same   I know I haven't said it much before...well...it's because   See, I get all choked up inside. it just doesn't want to   Come out. I don't know. maybe this'll help all the bad   Things i've done. so, no matter what goes on, no matter   What happens, always remember...I love you!  "
Uncle Kracker,I Wish I Had A Dollar,"[Chorus]   I wish I had a dollar for all the times somebody told me   Everything's gonna be alright   I wish I had a dollar for all the times somebody told me   Everything's gonna be alright      I've been lost in Boston, Austin Texas is always sweet   I stumbled around that Texas town but I never left Sixth Street   You know it's always hard to keep my feet from tryin' to run away   And it seems I spent a lifetime tryin' to make everything ok      I want to go down to see her   She's my little queen   I want to go down to tell her   She means the world to me   I wish I was down to watch her   Play that tambourine   She always brought a smile to me      I'd do anything   I wish I had a dollar for all the times somebody told me   Everything's gonna be alright   I wish sometimes that I could say she never told me so   And I'd walk a million miles on down the same old broken road   Now you can always reap just what you sew I know that's true   And I pray some day that I wake and my poor feet won't fit these shoes      I want to go down to see her   She's my little queen   I want to go down to tell her   She means the world to me   I wish I was down to watch her   Play that tambourine   She always brought a smile to me   I'd do anything   I wish I had a dollar for all the times somebody told me   Everything's gonna be alright   If I listened closely I can hear it oh so clear      Like a south bound train like fallin' rain like a whisper in my ear   Everything I'd like to hear you know I don't hear much no more   But I know someday that you'll come my way and you'll walk right through that door      I want to go down to see her   She's my little queen   I want to go down to tell her   She means the world to me   I wish I was down to watch her   Play that tambourine   She always brought a smile to me   I'd do anything   I wish I had a dollar for all the times somebody told me   Everything's gonna be alright  "
Bruce Springsteen,Meeting Across The River,"Hey Eddie, can you lend me a few bucks   And tonight can you get us a ride   Gotta make it through the tunnel   Got a meeting with a man on the other side      Hey Eddie, this guy, he's the real thing   So if you want to come along   You gotta promise you won't say anything   'Cause this guy don't dance   And the word's been passed, this is our last chance      We gotta stay cool tonight, Eddie   'Cause man, we got ourselves out on that line   And if we blow this one   They ain't gonna be looking for just me this time      And all we gotta do is hold up our end   Here, stuff this in your pocket   It'll look like you're carrying a friend   And remember, just don't smile   Change your shirt, 'cause tonight we got style      Well, Cherry says she's gonna walk   'Cause she found out I took her radio and hocked it   But Eddie, man, she don't understand   That two grand's practically sitting here in my pocket      And tonight's gonna be everything that I said   And when I walk through that door   I'm just gonna throw that money on the bed   She'll see this time I wasn't just talking   Then I'm gonna go out walking      Hey Eddie, can you catch us a ride?  "
Kenny Rogers,If I Were You,"You've got it made, you've got real love   Something you don't find every day   Someone to trust, someone to lean on   Something I would hold onto if I were you      You've got it made, you've got no one   You don't have those strings to tie you down   You come and go free as the wind blows   I wouldn't settle down too soon if I were you      If I were you, I'd be satisfied   Oh, I'm sure the grass is greener on the other side   If I were you, I'd stay by her side (I'd be running wild)   I would never leave her   That's what I would do   If I were you      If I were you, I'd be satisfied   Oh, I'm sure the grass is greener on the other side   If I were you, would I rather be (would I rather be)   Someone just like me?   I wouldn't change a single thing   If I were you  "
Depeche Mode,It Doesn't Matter Two,As I lay here with you   The shame lies with us   We talk of love and trust   That doesn't matter      Though we may be the last in the world   We feel like pioneers   Telling hopes and fears   To one another      And oh what a feeling   Inside of me   It might last for an hour   Wounds aren't healing   Inside of me   Though it feel good now   I know it's only for now      The feeling is intense   You grip me with your eyes   And then I realize   It doesn't matter  
Fabolous,This Is My Party,"""This Is My Party""      [Intro: Fabolous]   Hey-hey-hey yo [Repeat: x3]   F-A-be   Hey-hey-hey yo [Repeat: x2]   F-A-be   Hey-hey-hey yo [Repeat: x2]      [Fabolous]   Ain't no tellin' what this hip lowered do to me   I'm feelin' like I can do what I want now   Dip-low immunity   Shorty! just shake your hips slow and move wit me   Take a hit a this and sip slow and thoroughly   You're sneakin' out on your man, tip-toein' to the V   Cause I know you got him whipped though like wannabe   Let's put on a live strip show just you and me   But girl, I'm lookin' at them lips though like who is he?   They ain't never seen a whip, clothes or jewelry   So when I ask ""you want to leave the zip-code?""   Say ""sure"" and be me      [Chorus 1: Fabolous]   But this is my party   Stroll by if you want to   Or y'all can stay home   But why would you want to?      [Fabolous]   We gon' party, till we laid in graves   Sweat out our doobie braids and waves   Then scream ""hey-hey-hey yo""   That groupie made her wait   Cause when she seen the whips and chains   She started talking 'bout she ready to be made a slave, c'mon      [Chorus 2: x2]   This is my party   So get fly if you want to   Get high if you want to cause I know you want to   Put your hands up as high as you want to   And if it feels good scream ""hey-hey-hey yo""      [Fabolous]   I don't know about y'all   But we doin' it over here   All the glasses got liquid that brewin' it over here   Cigars got somethin' sticky that's glueing it over here   Ladies movin' it over there, movin' it over here   I can fit a few in a Rover's rear   We havin' a good time, don't ruin it overs this   You see why we asks is to see ID   Cause girls will do anything for some VIP access   Me I relax this (easy)   Cause I'm used to ballin'   You could tell that these guys need practice   But if it was a problem then I would confront you   You saying ""over"" bet ya I say ""you want to""   But a pitcher that probably slugs, pitches and talk a put   I ride wit the top down and switch to the top-up look   Would you believe most these bitches go bop up shook   Their asses pokin' out like them pictures in pop up books      [Chorus 2]      [Fabolous]   Oh yea! We's off the Richter Scale   Hate will get you, put in coffins quick as hell   If the ladies would show it off and thick as hell   For my hustlers knockin' off them bricks as well   And everybody, up north that's sick in jail   I probably feel y'all, send you all of the flicks in mail   The Street Family speed off six SL's   To all them chicks at Yale ""hey-hey-hey-hey yo""   Shake your glasses back and forth to mix it well   Shake your ass back and forth as quick as hell   And just from lookin' at them thighs from the front view   Girl I know that these guys say they want you   If I wake up in the sand, clothes from yesterday   Same hoes from yesterday   Lightin' clips to the same dro' from yesterday   Her hang-overs yesterday   You ain't mistaken we in Benz's today   But we had them Range Rovers yesterday      [Chorus 2]      [Fabolous]   Hey-hey-hey yo   Hey-hey-hey yo  "
One Direction,Tell Me A Lie,"Can't ever get it right   No matter how hard I try   And I've tried   Well I put up a good fight   But your words cut like knives   And I'm tired   As you break my heart again this time      Tell me I'm a screwed up mess   That I never listen, listen   Tell me you don't want my kiss   That you need your distance, distance   Tell me anything but don't you say he's what you're missing baby   If he's the reason that you're leaving me tonight   Spare me what you think and   Tell me a lie      Well you're the charming type   That little twinkle in your eye   Gets me every time   And well there must have been a time   I was the reason for that smile   Keep in mind   As you take what's left of you and I      Tell me I'm a screwed up mess   That I never listen, listen   Tell me you don't want my kiss   That you need your distance, distance   Tell me anything but don't you say he's what you're missing baby   If he's the reason you're leaving me tonight   Spare me what you think and   Tell me a lie      Tell me a lie   Tell me a lie   Tell me a lie      Tell me I'm a screwed up mess   That I never listen, listen   Tell me you don't want my kiss   That you need your distance, distance   Tell me anything but don't you say he's what you're missing baby   If he's the reason you're leaving me tonight   Spare me what you think and   Tell me a lie      Tell me a lie   Tell me a lie   Tell me a lie      Tell me a lie  "
Natalie Imbruglia,Tomorrow Morning,"Lonely, lost every part of me   Maybe, outstayed my company   Walking in to sad scenes   Hold me tight and say goodbye   I've seen, behind tomorrow's sky   You be, my missing alibi   Bone me over backwards   Turn around and change my mind   Cause I've been thinking   About our world tonight   Slowly sinking into my appetite   Tomorrow morning   Are you a friend of mine   I swear, you've left me open   Nowhere, to hide this moment   Overcrowded daydreams   We're lost or so it seems   Cause I've been thinking   About our world tonight   Slowly sinking into my appetite   Tomorrow morning   Are you a friend of mine   Cause I've been thinking   About our world tonight   Slowly sinking into my appetite   Tomorrow morning   Are you a friend of mine    "
Morrissey,Forgive Someone,"Use a weapon of words      Or a fight with your fists   But can you forgive someone?      Stand your ground and persist   And be the last one to blink   But can you forgive someone?      And if you do I'll run to you   Betray you with a word   I would slit my own throat first of all I will      The black peat of the hills   When I was still ill   See this mess and forgive someone      And then recall if you can   How all this even began   Forgive someone      And if you do I'll run to you   Betray you with a word   I would slit my own throat first of all I will      Our truth will die with me   Our truth will die with me      Shorts and supports and faulty shower heads   At track and field we dreamt of our beds   In the bleachers you sit with your legs spread, smiling   ""Here's one thing you'll never have""      Our truth will die with me   Our truth will die with me   Our truth will die with me  "
Pearl Jam,Fortunate Son,"Some folks are born   Made to wave that flag   Ooh that red, white 'n blue   And when they play   'Hail to the Cheif'   Ooh they point the cannon at you, lord      It ain't me, it ain't me   I ain't no fortunate son   It ain't me, it ain't me   I ain't no fortunate one, no      Some folks are born   Silver spoon in hand   Lord don't they help themselves?   And when the taxman   Knocks on their door   Ooh the house looks like a rummage sale, yeah      It ain't me, it ain't me   I ain't no fortunate son   It ain't me, it ain't me   I ain't no millionaires son, no, no      Some folks are born   Starspangled eyes   Ooh they send you out to war   And when Australia asks   'How much do we get?'   Ooh they just ask for more and more and more and more and more and...      It ain't me, it ain't me   I ain't no millionaires son, no   It ain't me, it ain't me   I ain't no fortunate one, one, one   It ain't me, it ain't me   I ain't no CIA son, no   It ain't me, it ain't me   I ain't no fortunate son, son, son  "
Justin Bieber,Misstep,"I chasing a   Ilucion this down   The moon shows me a   Shortcut to town.   This is strange, strange I know   But what else can we do?      Show me all, all around   Not to trip, I want hear a sound...   But longer be - be - be bound   Here we go!      Woohha-a-ohooh   Is like a dream   Woohha-a-ohooh   Is very extreme   Woohha-a-ohooh   The perfect team   That you and I are my love!      [Chorus:]      Never will clarify the reality   Is something special but a fantasy   You know that love is well   Woooah!   A misstep - tep.   I feel in your heart more, more   A small token of love   You know that love is well   Woooah!   A misstep - tep.      As in the horror movie to be lame   I just love these here is the same   A small and neglect is the end   No no the end... Yeah!   Finds it a new way to say now   Commenters a way to feel now   This is live, my love, your ball   Back to losing control.      Woohha-a-ohooh   Is like a dream   Woohha-a-ohooh   Is very extreme   Woohha-a-ohooh   The perfect team   That you and I are my love!      [Chorus:]      Never will clarify the reality   Is something special but a fantasy   You know that love is well   Woooah!   A misstep - tep   I feel in your heart more, more   A small token of love   You know that love is well   Woooah!   A misstep - tep      A misstep -tep (x8)      Now my love   Loses control   And   Back home   Here we go!   Look the sun   Everything is fun,   And   Look the moon   I wanna know      [Chorus:]      Never will clarify the reality   Is something special but a fantasy   You know that love is well   Woooah!   A misstep - tep   I feel in your heart more, more   A small token of love   You know that love is well   Woooah!   A misstep - tep      You know that love is well   A misstep - tep   Wooah!  "
Pink Floyd,Lost For Words,I was spending my time in the doldrums   I was caught in a cauldron of hate   I felt persecuted and paralyzed   I thought that everything else would just wait      While you are wasting your time on your enemies   Engulfed in a fever of spite   Beyond your tunnel vision reality fades   Like shadows into the night      To martyr yourself to caution   Is not going to help at all   Because there'll be no safety in numbers   When the right one walks out of the door      Can you see your days blighted by darkness?   Is it true you beat your fists on the floor?   Stuck in a world of isolation   While the ivy grows over the door      So I open my door to my enemies   And I ask could we wipe the slate clean   But they tell me to please go fuck myself   You know you just can't win  
David Allan Coe,The Purple Heart,I should get the purple heart for loving you after all the pain you put me through   When they start passing medals out to fools I will get the purple heart for loving you      There was nothing in the headlines to day you won the war   The one and only casually was me   You put me out of action so many times before   And left me on this battlefield to bleed   And I should get the purple heart...   [ steel ]   No one knows that I'm a hero there's no medals on my chest   All my wounds are hidden deep inside   I volunteered to love you hoping for the best   But all you ever done was cheat and lie   I should get the purple heart...   I should get the purple heart...  
