Artist,Song,Lyrics
Cheap Trick,Carnival Game,"It was a masquerade at Mardi Gras   That was the only trip that I recall   Every time I turned around at all   There was you      Some days are easier said than done   Always expecting something's wrong   I'd rather live alone than drag this on      Take your time, please lay your hands on me   Don't wanna be alone, oh no   A mask behind the face and then you're gone   Oh,yeah- comes a time when you're better off alone   You're on your own      I've got a kaleidoscope of memories   Visions of you locked up inside of me   Can't you see      We once collided like a broken wheel   So undecided what was real   Maybe a crash somehow has sex appeal   Whatever turns you on      Take your time- please lay your hands on me   Don't wanna be alone, oh no   A mask behind a face and then you're gone   Oh yeah- comes a time when you're better off alone      One down, one to go   Oh no, playin' in a carnival   Your time is gone      One down- one to go   Oh no, playin' in a carnival   You're all alone      One down, one to go   Oh no, you're on your own  "
Within Temptation,Overcome,"Where are the heroes   In my time of need?   Is my cry not loud enough   Or have they gone all numb?   They just tend to stand   Out of the rain   Thinking but not acting   That they're not to blame   Falling and crawling   A fight to stand up   Memory still haunts me   In the dead of night   Over and over, I felt so small   But one day I'll be stronger   And you better watch out   I will overcome, your violence their silence   Although it can't be undone   I will overcome, knowing that I'm not the only one   I will overcome, it's the only way to carry on   Where are the saviors?   Afraid of the toll   Sorry, do my nine inch nails   Slash your soul   Such heroes   Throwing stones   Straight at the one   Who is standing alone   Twisting and turning   It's always the same   Truth is never honest   When you're to blame   Pushing and pulling   Never give in, one day I wish   You'll see you're not so beautiful within   I will overcome, our violence your silence   Although it can't be undone   I will overcome, knowing that I'm not the only one   I will overcome, it's the only way to carry on   Run and run   Run and run   I will overcome, their violence your silence   Although it can't be undone   I will overcome, knowing that I'm not the only one   I will overcome, it's the only way to carry on   I will overcome    "
Depeche Mode,Come Back,[Chorus]   Come back Come back to me   I've been waiting here patiently      I've been walking a thin white line   Between love and hate   I could use a lil' company   A lil' kindness to go a long way      Weeks turn into months   Months turn into years   Reaching the same conclusions   Gathering up the fear      [Chorus]      I've been walking a thin white line   Between love and hate   I could use a lil' company   A lil' kindness to go a long way      Weeks turn into months   Months turn into years   Reaching the same conclusions   Gathering up the fear      [Chorus: x3]      Come back Come back to me  
Bob Dylan,Early Roman Kings,"All the early Roman kings   In their sharkskin suits   Bow ties and buttons   High top boots   Drivin' the spikes in   Blazin' the rails   Nailed in their coffins   In top hats and tails      Fly away, little bird   Fly away, flap your wings   Fly by night   Like the early Roman kings      All the early Roman kings   In the early, early morn   Coming down the mountain   Distributing the corn   Speeding through the forest   Racing down the track   You try to get away   They drag you back      Tomorrow is Friday   We'll see what it brings   Everybody's talking   'Bout the early Roman kings      They're peddlers and they're meddlers   They buy and they sell   They destroyed your city   They'll destroy you as well   They're lecherous and treacherous   Hell-bent for leather   Each of 'em bigger   Than all men put together      Sluggers and muggers   Wearing fancy gold rings   All the women goin' crazy   For the early Roman kings      I can dress up your wounds   With a blood-clotted rag   I ain't afraid to make love   To a bitch or a hag   If you see me comin'   And you're standing there   Wave your handkerchief   In the air      I ain't dead yet   My bell still rings   I keep my fingers crossed   Like them early Roman kings      I can strip you of life   Strip you of breath   Ship you down   To the house of death   One day   You will ask for me   There'll be no one else   That you'll wanna see      Bring down my fiddle   Tune up my strings   I'm gonna break it wide open   Like the early Roman kings      I was up on black mountain   The day Detroit fell   They killed 'em all off   And they sent 'em to hell   Ding dong daddy   You're coming up short   Gonna put you on trial   In a Sicilian court      I've had my fun   I've had my flings   Gonna shake 'em all down   Like the early Roman kings  "
Natalie Cole,L-o-v-e,"L, is for the way you look at me   O, is for the only one I see   V, is very, very extraordinary   E, is even more than anyone that you adore can      Love is all that I can give to you   Love is more than just a game for two   Two in love can make it   Take my heart and please don't break it   Love was made for me and you      L, is for the way you look at me   O, is for the only one I see   V, is very, very extraordinary   E, is even more than anyone that you adore can      Love is all that I can give to you   Love is more than just a game for two   Two in love can make it   Take my heart and please don't break it   Love was made for me and you [Repeat x 2]  "
Paul McCartney,Every Night,"Every night I just want to go out,   Get out of my head   Every day I don't want to get up,   Get out of my bed   Every night I want to play out   And every day I want to do ooh ooh oh oh   But tonight I just want to stay in   And be with you,   And be with you.      Ooh...   Ooh...   Believe me mama      Every day I lean on a lamp post,   I'm wasting my time   Every day I lay on a pillow,   I'm resting my mind   Every morning brings a new day   Every night that day is through   Ooh ooh oh oh   But tonight I just want to stay in   And be with you,   And be with you.      Ooh...   Ooh...   Believe me mama ooh...   Ooh...  "
Howard Jones,Collective Heartbeat,"Studio Version            (Thoughts and actions?) of words you've spoken   Write the scripts of life and open up the possibilities   To choose the role you feel happy in      Positive and negative   Hiding in the fabric of every choice and every wish   So choose a role you feel happy in   (Choose a role you feel happy in)   (Choose a role you feel happy in)   (Choose a role you feel happy in)   (Choose a role you feel happy in)      Here's the card that you've been given   It's not much but its neatly written   Here's the life that you are living   Choose a role that you feel happy in   You get hurt and end up leaving   But to stay is most revealing   Take the knocks and get the meaning   Choose a role you feel happy in      You're feeling like a stranger in your own world   Listen to the Collective Heartbeat   You're feeling like a stranger in your own world   Listen to the Collective Heartbeat      (Choose a role you feel happy in) repeat x8      Beat, Beat   Listen to the Collective Heartbeat   (You're feeling like a stranger in your own world)   (Listen to the Collective Heartbeat)      (Thoughts and actions?) words you've spoken   write the scripts of life and open up the possibilities   To choose the role you feel happy in      Positive and negative   Hiding in the fabric of   Every choice and every wish   So choose a role you feel happy in   (Choose a role you feel happy in)   (Choose a role you feel happy in)   (Choose a role you feel happy in)   (Choose a role you feel happy in)      You're feeling like a stranger in your own world   Listen to the Collective Heartbeat   You're feeling like a stranger in your own world   Listen to the Collective Heartbeat      (Choose a role you feel happy in) repeat x 8      You're feeling like a stranger in your own world   Listen to the Collective Heartbeat   You're feeling like a stranger in your own world   Listen to the Collective Heartbeat               Acoustic Version            There's a person that I know   OK its you and me   Keeps coming up against a brick wall   Always blaming and complaining but sustaining   While their luck doesn't change at all   Obstacles and ridicule   Are common in his head   Does he even listen   To that collective heartbeat      Here's the card that you've been given   Its not much but its neatly written   And here's the life that you are living   Choose a role that you feel happy in      You get hurt and end up leaving   But to stay is most revealing   Take the knocks and get the meaning   Before moving on up to hit the imaginary ceiling      Beyond that firewall is a devastating view   Take the time to listen to the collective heartbeats      Here's the card that you've been given   Its not much but its neatly written   And here's the life that you are living   Choose a role that you feel happy in      You can go round it or under it or over it or back away   Face on ,head to head      idle away tomorrow but today      Here's the card that you've been given   Its not much but its neatly written   And here's the life that you are living   Choose a role that you feel happy in      Choose a role that you feel happy in   Choose a role that you feel happy in   Choose a role that you feel happy in   Choose a role that you feel happy in   Choose a role that you feel happy in   Choose a role that you feel happy in   Choose a role that you feel happy in  "
Steely Dan,Janie Runaway,"It must have been my lucky Thursday   Your dad went on that spree   Before the crew could put out the fires   You hopped a bus for NYC   Down in Tampa the future looked desperate and dark   Now you're the wonderwaif of Gramercy Park      Who makes the morning fabulous   Who says today's a fun day   Why do I feel like sailing again   Honey it's you Janie Runaway      Let's grab some takeout from Dean and Deluca   A hearty gulping wine   You be the showgirl and I'll be Sinatra   Way back in '59   Sweetness in heels, look at you, in long black gloves   Come to old blue eyes tell me, who do you love      Who makes the traffic interesting   Rescues a dreary Sunday   Who makes me feel like painting again   Honey it's you, Janie Runaway      Let's plan a weekend alone together   Drive out to Binky's place   The sugar shack in Pennsylvania   Or would that be a federal case?   We'll take the Big Red, the Blazer, it's nice inside   And guess who's coming along for the ride      Who has a friend named Melanie   Who's not afraid to try new things   Who gets to spend her birthday in Spain   Possibly you, Janie Runaway  "
Stone Roses,What The World Is Waiting For,Here comes the wise man   And there goes the fool   You see that burnt out world that he is living in   I don't need to look for the rules   Here comes the donkey   Chained to a ten ton plough   He'll never make that hill in a million years   Whip crack beating down      He loves his brother but he'd sell him for a fistful of gold   He needs a slave for his vision of the promised land   No I don't believe a word   Take me any way the wind blows   You'll never know just what you want to do   Or where you want to go i think it's time   That you found what the world is waiting for   I think it's time To get real      Here comes the wise man   And there goes the fool   You see that burnt out world that he is living in   I don't need to look for the rules      Here comes the donkey   Chained to a ten ton plough   He'll never make that hill in a million years   Whip crack beating down      Anytime you want it then it's there   All you gotta do is stop it   On the corner and ask   Say hey you don't live today   Stop the world   Stop the world   I'm getting off   I'm getting off   Can't get enough   I'm getting off  
Diana Ross,I Cried For You,I cried for you   Now it's your turn to cry over me   Every road has a turning   That's one thing I'm learning      I cried for you   What a fool I used to be   Now I found two eyes   A little bit bluer   I found a heart   Just a little bit truer      I cried for you   Now it's your turn to cry over me      I cried for you   Now it's your turn to cry over me   Every road has a turning   That's one thing I'm learning      I cried for you   What a fool I used to be   Now I found two eyes   Just a little bit bluer   I found a heart   Just a little bit truer      That I cried for you   Now it's your turn to cry over me  
Alice Cooper,For Britain Only,"We blasted Glasgow   Invaded France   Assaulted Sweden   Took down our pants   And lovely England   My little kitten   Deliriously   Black widow Billy   For Britain only   Only for Britain, yeah   For Britain only   Only for Britain   Jumped on the concord   Ain't much for sittin'   I told my boys, now   No public spiting   No bar room fighting   No bad head splitting   Behave yourself 'cause we're, we're back in Britain   For Britain only   Only for Britain   Cost six years of time and space   It took so long to change his face   To redesign his streamline face   Now strong and sleek but still no taste   Guilty   I'm guilty   Won't go to Hungary   Iran is out   Welcome to Moscow, huh   I have my doubts   Can't get near Libya   That boy's insane   Let's head for London   Where we can scream again   For Britain only   Only for Britain, yeah   For Britain only   Only for Britain   For Britain only   Only for Britain, yeah   For Britain only   Only for Britain  "
Regine Velasquez,Love Was Born On Christmas Day,"Love was born on christmas day      It was a dark starry night   That made the world see the light   Three wise men followed the star   The angels led them to a new born child   When they saw him love filled the air      It was a cold December night   A father, a mother, and a child      Chorus:   Love was born on Christmas day   Love was born on Christmas day   Sleeping in a manger   Was the world only Saviour   Humble beginnings of love   We're given and shown to the world   Love was born on Christmas day      Frankincense, Myrth and gold   We're the first gifts of love   Given to a poor child by kings   A shepherd and his lambs   Gathered around to see a miracle   On a peaceful night angels sung and prayed      Picture of love on a cold December night   A father, a mother, and a child      Repeat chorus 2X  "
Rolling Stones,Hitch Hike,"I'm going to Chicago that's the last place my baby stayed   I'm packing up my bags I'm gonna leave this town right away   I'm gonna find that girl if I have to hitch hike around the world      ""Chicago City"" that's what the sign on the freeway read   I'm gonna keep on going 'til I get to that street's called 6th and Main   I've gotta find that girl if i have to hitch hike around the world      C'mon hitch hike   Hitch hike children   Hitch hike   Hitch hike baby   Hitch hike   Hitch hike baby   C'mon hitch hike   Hitch hike darling      I'm going to St. Louis but my next stop just might be L.A., that's what I say   I got no money in my pocket so i'm going to have to hitch hike all the way   I'm gonna find that girl if i have to hitch hike around the world      C'mon hitch hike   Hitch hike children   Hitch hike   Hitch hike baby   Hitch hike   Hitch hike baby   C'mon hitch hike   Hitch hike children      Now c'mon c'mon hitch hike   Hitch hike children   Hitch hike   Hitch hike darling   c'mon hitch hike   Hitch hike children   Hitch hike hitch hike   Hitch hike baby   Mmmmm...  "
Hank Williams Jr.,Tee Tot Song,"Every mornin' ole Tee Tot come 'round   Settin'up his shoe shine box in town   And he'd sing ""Good Mornin' Montgomery""   He'd sing ""Good Mornin' Montgomery'   He'd sing ""Good Mornin' Montgomery""   He's sing ""Good Morinin' Montgomery, Alabam'      I'm so glad, don't be sad   There's no way you could feel bad   When this dear man with a tin pan   Started to play the blues!      Met this white boy little Hiram (Hank)   Took him in right under his wing   And he'd say, Tee Tot make it ring   And he'd say, Tee Tot make it ring   And he would laugh and he would sing      Could you please, ""Show me""   ""Show me""   ""Show me, show me""   If I could play just like you   Why I'd give anything      Well he learned to play like the old man said he would   Little Hiram's got his name in Hollywood   I wish that Tee Tot could have stayed around   Then maybe Little Hiram would not have drowned   In all those things that does a boy   That wants to sing no good      Little Hiram's music's had a worldwide touch   And we all owe Mr. Rufus Payne so much   We got peanuts, fresh peanuts   Put your money in the tin cup   I can see them now with a big smile   Splittin' the days work up      Could you please, ""Show me""   ""Show me""   ""Show me, show me""   If I could play just like you   Why I'd give anything      Yes, Mr. Payne and Hiram Hank loved each other so much  "
Phil Collins,You Know What I Mean,"Just as I thought I'd make it   You walk back into my life   Just like you never left      Just as I'd learned to be lonely   You call up to tell me   You're not sure if you're ready   But ready or not, you'll take what you've got and leave      Leave me alone with my heart   I'm putting the pieces back together again   Just leave, leave me alone with my dreams   I can do without you, know what I mean      I wish I could write a love song,   To show you the way I feel   Seems you don't like to listen   Oh but like it or not, take what you've got and leave      Leave me alone with my heart   It's broken in two and I'm not thinking too straight   Just leave, leave me alone with my dreams   You've taken everything else, you know what I mean  "
Pogues,Oretown,"The night stank of diesel   A stranger came to town   A cold wind blowing   And the rain pouring down   Street lights flicker   And the power lines moan   The moon beat down   On a river of bone   Someone put the lights out   No one make a sound   You won't find a thing   Down in Oretown   Foundry spits fire and smoke   Air's foul and choking   Sky is full of sulphur   Hills flat and broken   Black fogs and whirlwinds   The thunder and rain   Open drink madness   Purple mad pain   The circus is over   Exit the clowns   Nobody's laughing   Down in Oretown   The ship's in the harbor   Cargo's been pawned   Barrooms spilling sailors   All shipwrecked at dawn   Smelling of salt and rust   Uniform's torn   Came looking for flowers   Only found thorns   Dreaming of mermaids   In pearly white gowns   Captain is sleeping   Down in Oretown   There's a man down on mainstreet   Eyes all aflame   Laughing in the thunder   Of the Number 9 train   Selling old postcards in rusty frames   A thousand views of Oretown   And they all look the same   Dressed up in sandals   A barbed wire crown   A lot of people lost their minds   Down in Oretown   Lock up the lawman   Let go the thief   Round up the grey men   Nail them to a tree   This town was a palace   This town was aglow   Well, the sky burned orange   And the iron river flowed   The night stank of diesel   A stranger came to town   The night folded over   Down in Oretown    "
Sia,Judge Me,"Judge me feel free   Cause the freer you feel   The freer you'll let me be      It's such a terrible terrible shame   You keep on judging me, in his name   You're so quick to shift the focus   Cause you can find yourself   In today's frame   But I know he's approve   And I've nothing to prove to you   He smiles down on me lovingly      Just me feel free   Cause the freer you feel   The freer you'll let me be      It's truly sad to see   You suffering so immensely   You need distracting   So you use me conveniently   But I know he'd approve   And I've nothing to prove to you   He smiles down on me lovingly  "
Mazzy Star,Free,"I fell asleep in the silence   Before the street fights the fire   Free in the world that you've given   Lay in the sound,   The water still calls,   Still calls   Afraid of the dark that surrounds me   Hide in the dirt of the ground   Free in the wind that surrounds me   I'm not afraid to sleep in the night   Not afraid,   To sleep in the night   Free like a bird of the holders   Holding the wake of the sun   I know the road that you send me   I know the way it leads to home   Real like the bones in my body   Real like the flesh that covers the grave   It's real,   Like the flesh   That covers, The grave   Wait for the guards that you send me   Before I'll show myself,   Wait for the storm that comes to me   Maybe I'll just change my mind   Plea for the will of forgiveness   I'm not afraid to say I was wrong   I was wrong   Maybe I won't   So long   So long    "
Faith No More,As The Worm Turns,"One day you're thinking that maybe you're feeling better   And you're probably an OK person, if only you had a job...   Through the hollow tombs can see them   Through their mouths I can hear them praying for pain   But it's only a game      Listen, man, I know   That things are really rough   And everybody gets you   And life is really tough   But I know that deep down inside   There's a feeling that rides   All the way to the end      Thursday you sit in your room with the lights turned out   And you don't answer the door   Friday morning looks sunny and bright   Like it's going to be a good day   And it would be if only you had a job      Time is on your side, you're young   Don't waste your time today  "
Amy Grant,Christmas Can't Be Very Far Away,"Little bits of heaven   Floating gently by the window   Soon this dirty city will be   Covered with a new snow      Let's put on our winter boots   Go outside and play   Christmas can't be very far away      Weather girl says ""bundle up""   It's gonna be a cold one   I'll put on my wooly hat   You'll wear your dad's old Stetson      Pretty lights are everywhere   Shining night and day   Christams can't be very far away      Let's take a walk downtown and   Go dream shopping in the mall   The kids can do the Santa thing   Photographs and all      We'll get the biggest tree this year   And trim it to the top   And spend a whole lot more   Than what we've got   But so what      Come next spring   I know we will be   Ready for the sunshine   Right now throwin' snowballs   At each other's such a fun time      Kids will think we're crazy   For awhile and that's okay   Christmas can't be very far away   Christmas can't be very far away  "
Olivia Newton-John,Music Makes My Day,Music makes my day   It warms an empty place when you're away   Music makes my day   Love you are my song   Your melody's so soft   Your love so strong   Love you are my song      And though good fortune seems a long time calling   The sadness creeps into my song   My pearly friend will gently soothe me   And sing along      Music makes my day   It seems my waiting hours just fly away   Music makes my day   If I lost my friend   His loving words no more   My song would end   If I lost my friend      And though good fortune seems a long time calling   The sadness creeps into my song   My pearly friend will gently soothe me   And sing along      Music makes my day   It warms an empty place when you're away   Music makes my day   You know it makes it  
Bob Seger,Highway Child,"I wasn't born lookin' back, I can't tell white from black   Kesey next to me now darling, straighter than a railroad track   I've been so high, my mind was dry      I rent it out to farmers on the midnight ride   That ain't all   I ain't even got me a congressman I can call   I seen 'em dumpin' garbage, in my rivers and lakes   All right   I seen 'em send up John Sinclair, you know   Two joints is all it takes      Then suddenly I was in a tree   And dogs were barking up at me   Can't you see   I'm so damn apethetic, I can't believe I'm free      As the senator he signs the bills you know      And he's telling us which way we have to go      Think it's time we got together and declared   When you see them coming and you get so scared      Rain is falling down, but you know I'm feeling fine   I think I'll watch the tv set, let America steal my mind   But you know I'm cool, Momma had a rule   She didn't raise no fool to be true to someone else   I'm gonna be myself   I'm runnin' down that highway child      Highway child   Highway child       "
Neil Diamond,Captain Of A Shipwreck,"I was lost until you found me   You're the reason for my today   Was tempest tossed, now I sleep soundly   Thanks to you I gladly say      That if your goldmine comes up empty   I'll be there to work the claim   If you're a captain of a shipwreck   I'll be first mate to your shame      Trust in me to share your burden   Stand by you where I belong   When life brings the day uncertain   I will soothe you with my song      And if your goldmine comes up empty   I'll be there to work the claim   If you're a captain of a shipwreck   I'll be first mate to your shame      Fear no flood in stormy weather   Fear no fire if winds arise   Flesh and blood, I'm yours forever   And forever, it never dies      And if your goldmine comes up empty   I'll be there to work the claim   If you're a captain of a shipwreck   I'll be first mate to your shame      If you're a captain of a shipwreck   You can find me up on the top deck   You'll be captain of a shipwreck   I'll be first mate to your shame.  "
Carly Simon,In A Small Moment,In a small moment   She accepted credit for something she did not do   She said she'd done the water color in her bedroom   But it was done by a friend from school   Just a little lie   No one would discover   At least not very soon      In a small moment   Just a little lie   When she wasn't looking it just slipped on by      In a small moment   In a restaurant where she worked the late night shift   She short changed a sailor and made five   You could never really call it a theft   Just a little lie   Swept up in her apron and kept as a well deserved gift   In a small moment   Just a little lie   When she wasn't looking it just slipped on by      In a small moment   She cheated on her lover and placed it in the back of her mind   As long as nobody knew the truth about her   It could never really be unkind   Just a little lie   That slipped beside her as she tossed and turned in her alibis      In a small moment   Just a little lie   When she wasn't looking it just slipped on by   Just a little lie   When she wasn't looking it just slipped on by   Slipped on by  
